TFSItem,ChangeSet

$/Crystal Reports/Main/Forms -SS-Atom/1 - CXD/Notices/American/CLC19 - Insufficient Payment Notice.rpt,83177
$/Crystal Reports/Main/Forms -SS-Atom/1 - CXD/Notices/BCBSLA/CLC19 - Insufficient Payment Notice.rpt,83179
$/Crystal Reports/Main/Forms -SS-Atom/1 - CXD/Notices/English/CLC19 - Insufficient Payment Notice.rpt,82926
$/Crystal Reports/Main/Forms -SS-Atom/1 - CXD/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83181
$/Crystal Reports/Main/Forms -SS-Atom/4 - CXO/Notices/Chinese/CLC19 - Insufficient Payment Notice.rpt,83189
$/Crystal Reports/Main/Forms -SS-Atom/4 - CXO/Notices/English/CLC19 - Insufficient Payment Notice.rpt,82965
$/Crystal Reports/Main/Forms -SS-Atom/4 - CXO/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83191
$/Crystal Reports/Main/Forms -SS-Atom/4 - CXO/Notices/Tagalog/CLC19 - Insufficient Payment Notice.rpt,83193
$/Crystal Reports/Main/Forms -SS-Atom/4 - CXO/Notices/Vietnamese/CLC19 - Insufficient Payment Notice.rpt,83195
$/Crystal Reports/Main/Forms -SS-Atom/5 - CXH/Notices/English/CLC19 - Insufficient Payment Notice.rpt,83002
$/Crystal Reports/Main/Forms -SS-Atom/5 - CXH/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83183
$/Crystal Reports/Main/Forms -SS-Atom/8 - CXL/Notices/English/CLC19 - Insufficient Payment Notice.rpt,83024
$/Crystal Reports/Main/Forms -SS-Atom/8 - CXL/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83185
$/Crystal Reports/Main/Forms -SS-Atom/9 - CXT/Notices/English/CLC19 - Insufficient Payment Notice.rpt,83043
$/Crystal Reports/Main/Forms -SS-Atom/9 - CXT/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83187
$/Crystal Reports/Main/Forms -SS-Atom/9 - CXT/Custom/CLC19 - Insufficient Payment Notice_GE.rpt,83197
$/Crystal Reports/Main/Forms-CXD/Notices/American/CLC19 - Insufficient Payment Notice.rpt,83178
$/Crystal Reports/Main/Forms-CXD/Notices/BCBSLA/CLC19 - Insufficient Payment Notice.rpt,83180
$/Crystal Reports/Main/Forms-CXD/Notices/English/CLC19 - Insufficient Payment Notice.rpt,82908
$/Crystal Reports/Main/Forms-CXD/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83182
$/Crystal Reports/Main/Forms-CXH/Notices/English/CLC19 - Insufficient Payment Notice.rpt,82991
$/Crystal Reports/Main/Forms-CXH/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83184
$/Crystal Reports/Main/Forms-CXL/Notices/English/CLC19 - Insufficient Payment Notice.rpt,83014
$/Crystal Reports/Main/Forms-CXL/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83186
$/Crystal Reports/Main/Forms-CXO/Notices/Chinese/CLC19 - Insufficient Payment Notice.rpt,83190
$/Crystal Reports/Main/Forms-CXO/Notices/English/CLC19 - Insufficient Payment Notice.rpt,82941
$/Crystal Reports/Main/Forms-CXO/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83192
$/Crystal Reports/Main/Forms-CXO/Notices/Tagalog/CLC19 - Insufficient Payment Notice.rpt,83194
$/Crystal Reports/Main/Forms-CXO/Notices/Vietnamese/CLC19 - Insufficient Payment Notice.rpt,83196
$/Crystal Reports/Main/Forms-CXT/Notices/English/CLC19 - Insufficient Payment Notice.rpt,83034
$/Crystal Reports/Main/Forms-CXT/Notices/Spanish/CLC19 - Insufficient Payment Notice.rpt,83188
$/Crystal Reports/Main/Forms-CXT/Custom/CLC19/CLC19 - Insufficient Payment Notice_GE.rpt,83198
